title,id,url,viewCount,date,likes,channelName,channelUrl,numberOfSubscribers,duration,days_since_upload,ReachFactor,EngagementEfficiency,VelocityFactor,ViralityScore
Order Confirmed: Genda Phool | Made In Heaven Season 2 | #primevideoindia,Kwx87P77Whc,https://www.youtube.com/shorts/Kwx87P77Whc,512090,8/6/23 09:08,57000,Prime Video India,https://www.youtube.com/@PrimeVideoIN,35700000,00:00:45,787,13.14625762,0.111308559,72.42693774,105.9816856
Sobhita Dhulipala Takes A STAND for the RIGHT THING  | Made In Heaven Season 2 | #primevideoindia,Bk_n6DjDP2o,https://www.youtube.com/shorts/Bk_n6DjDP2o,2751937,3/8/25 10:30,43000,Prime Video India,https://www.youtube.com/@PrimeVideoIN,35700000,00:00:55,207,14.82781595,0.015625358,207.7294686,48.12882565
Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,pytCSxxDvM8,https://www.youtube.com/shorts/pytCSxxDvM8,1688761,2/18/24 13:30,46000,Prime Video India,https://www.youtube.com/@PrimeVideoIN,35700000,00:00:59,591,14.33950627,0.027238905,77.83417936,30.40144245
Life Lesson: Take Charge! | Made In Heaven Season 2 | Prime Video India,zOd0R4CcZqk,https://www.youtube.com/shorts/zOd0R4CcZqk,960388,8/27/23 08:30,16000,Prime Video India,https://www.youtube.com/@PrimeVideoIN,35700000,00:00:30,766,13.77509369,0.016659933,20.88772846,4.793569541
Made In Heaven Season 2 Review : The Truth!,TBlOFPsxPsQ,https://www.youtube.com/watch?v=TBlOFPsxPsQ,133573,8/10/23 06:01,4700,Shan Prasher,https://www.youtube.com/@ShanPrasher,442000,00:10:45,784,11.80241091,0.035186752,5.994897959,2.489612202
"Strong Stories, Stronger Brides | Made In Heaven S2 #primevideoindia",vnm6mH4Dbnc,https://www.youtube.com/shorts/vnm6mH4Dbnc,216117,8/15/23 08:14,5700,Prime Video India,https://www.youtube.com/@PrimeVideoIN,35700000,00:00:30,778,12.28357983,0.026374603,7.326478149,2.373592368
"Made in heaven season 2| wedding scene| Radhika Apte,Shivani Raghuvanshi,Arjun Mathur,Kalki,Shashank",p2GTty4vK1g,https://www.youtube.com/watch?v=p2GTty4vK1g,525596,8/17/23 17:23,8100,Prakash Bansode,https://www.youtube.com/@Shinchya,1640,00:02:18,776,13.17229004,0.015411076,10.43814433,2.118934587
"Bitter Sweet Revenge | Made In Heaven S2 | Sobhita Dhulipala, Jim Sarbh, Kalki Koechlin",F91nUJaonzg,https://www.youtube.com/shorts/F91nUJaonzg,320123,8/3/23 12:30,6500,Prime Video India,https://www.youtube.com/@PrimeVideoIN,35700000,00:00:30,790,12.6764637,0.020304695,8.227848101,2.117780089
4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,RSiy3QCZ6Sc,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,338139,8/13/23 11:15,6500,Tried&Refused Productions.,https://www.youtube.com/@TriedRefusedProductions,1280000,00:10:17,780,12.73121529,0.019222864,8.333333333,2.039420164
Made in Heaven Season 2 & Dream Girl 2 trailer review | Hot or Miss | Honest Review | MensXP,6rfvN5Az6R8,https://www.youtube.com/watch?v=6rfvN5Az6R8,85000,8/3/23 03:04,2900,MensXP,https://www.youtube.com/@mensxp,1630000,00:10:09,791,11.3504183,0.034117647,3.666245259,1.419751884
Jauhari Ji's Dialoguebaazi | Made In Heaven S2 | #primevideoindia,PIDlUvboRH4,https://www.youtube.com/shorts/PIDlUvboRH4,66068,8/19/23 12:30,2300,Prime Video India,https://www.youtube.com/@PrimeVideoIN,35700000,00:00:42,774,11.09845493,0.034812617,2.971576227,1.148116806
Yeh Made In Heaven Hai? | Made In Heaven Season 2 | #primevideoindia,U58BTciDLbQ,https://www.youtube.com/shorts/U58BTciDLbQ,170913,8/5/23 12:30,3500,Prime Video India,https://www.youtube.com/@PrimeVideoIN,35700000,00:00:31,788,12.04891578,0.020478255,4.441624365,1.095929817
"Made In Heaven Season 2 review | Arjun Mathur, Sobhita Dhulipala, Jim Sarbh | Honest Review | MensXP",dg40ww15xSM,https://www.youtube.com/watch?v=dg40ww15xSM,83511,8/12/23 13:30,2400,MensXP,https://www.youtube.com/@mensxp,1630000,00:20:53,781,11.33274561,0.028738729,3.072983355,1.00083597
Made in Heaven Season 2 - Official Trailer | Prime Video India,_lpxWzvII5k,https://www.youtube.com/watch?v=_lpxWzvII5k,22650107,8/1/23 08:30,31000,Prime Video India,https://www.youtube.com/@PrimeVideoIN,35700000,00:03:23,792,16.93567518,0.001368647,39.14141414,0.907257284
Made In Heaven Season 2 REVIEW | Sucharita Tyagi | Zoya Akhtar | Amazon Prime Video,eWte05Lq-q8,https://www.youtube.com/watch?v=eWte05Lq-q8,91205,8/10/23 12:57,2200,Sucharita Tyagi    ,https://www.youtube.com/@SucharitaTyagi,151000,00:09:10,783,11.42087596,0.024121485,2.809706258,0.774041716
"Rich, Scandalous Families of Made In Heaven S2 | #primevideoindia",zwdtTPhtLLw,https://www.youtube.com/shorts/zwdtTPhtLLw,115274,8/7/23 06:33,2300,Prime Video India,https://www.youtube.com/@PrimeVideoIN,35700000,00:00:30,787,11.65507586,0.019952461,2.92249047,0.679617699
