author,comment,commentsCount,pageUrl,replyCount,title,type,voteCount,clean_comment,text,language
@SSSR379,Mona singh ka kissing scene hona chaiye the,22,https://www.youtube.com/watch?v=Xno3yZcdypI,0,Made In Heaven Season 2 Hot Scenes Timing | Sobhita Dhulipala | Amazon Prime | Web Series Timing |,comment,8,mona singh ka kissing scene hona chaiye the,mona singh ka kissing scene hona chaiye the,Hinglish
@poojagiri1327,Sobhita Dhulipala & Jim Sarabh hot scene in Episode 6 was fire.Still season 1 was the best. Damn Sobhita's kiss is next level. She is a damn good kisser,22,https://www.youtube.com/watch?v=Xno3yZcdypI,8,Made In Heaven Season 2 Hot Scenes Timing | Sobhita Dhulipala | Amazon Prime | Web Series Timing |,comment,40,sobhita dhulipala & jim sarabh hot scene in episode 6 was fire.still season 1 was the best. damn sobhita's kiss is next level. she is a damn good kisser,sobhita dhulipala & jim sarabh hot scene in episode 6 was fire.still season 1 was the best. damn sobhita's kiss is next level. she is a damn good kisser,Hinglish
@user-mi3ol6bo8g,Boring star cast hai ,22,https://www.youtube.com/watch?v=Xno3yZcdypI,0,Made In Heaven Season 2 Hot Scenes Timing | Sobhita Dhulipala | Amazon Prime | Web Series Timing |,comment,5,boring star cast hai,boring star cast hai,Hinglish
@cool__eee3646,chalo bhai kuch to aaya garama garam.,22,https://www.youtube.com/watch?v=Xno3yZcdypI,0,Made In Heaven Season 2 Hot Scenes Timing | Sobhita Dhulipala | Amazon Prime | Web Series Timing |,comment,30,chalo bhai kuch to aaya garama garam.,chalo bhai kuch to aaya garama garam.,Hinglish
@soukhinahmed3455,Mrunal Thakur Kaunsa Episode mein Hai?or uska kuch Hot Scene Hai?,22,https://www.youtube.com/watch?v=Xno3yZcdypI,3,Made In Heaven Season 2 Hot Scenes Timing | Sobhita Dhulipala | Amazon Prime | Web Series Timing |,comment,7,mrunal thakur kaunsa episode mein hai?or uska kuch hot scene hai?,mrunal thakur kaunsa episode mein hai?or uska kuch hot scene hai?,Hinglish
@tarunnag7603,Kuch khas nahi hai hot scene,22,https://www.youtube.com/watch?v=Xno3yZcdypI,0,Made In Heaven Season 2 Hot Scenes Timing | Sobhita Dhulipala | Amazon Prime | Web Series Timing |,comment,10,kuch khas nahi hai hot scene,kuch khas nahi hai hot scene,Hinglish
@PHOENIX_PROJECTS.DebopriyaaSen,Dude reaIIy has swag; he is the uItimate HERO OF THE SERIES,23,https://www.youtube.com/watch?v=PIDlUvboRH4,0,Jauhari Ji's Dialoguebaazi | Made In Heaven S2 | #primevideoindia,comment,9,dude reaiiy has swag; he is the uitimate hero of the series,dude reaiiy has swag; he is the uitimate hero of the series,Hinglish
@zoyaahsan7355,"Initially I thought
That he is toxic and all the marks on his wife body are given by him . But what a gentleman he is",23,https://www.youtube.com/watch?v=PIDlUvboRH4,1,Jauhari Ji's Dialoguebaazi | Made In Heaven S2 | #primevideoindia,comment,3,initially i thought that he is toxic and all the marks on his wife body are given by him . but what a gentleman he is,initially i thought that he is toxic and all the marks on his wife body are given by him . but what a gentleman he is,Hinglish
@pragatipandey9271,He is the most adorable character of the series,23,https://www.youtube.com/watch?v=PIDlUvboRH4,0,Jauhari Ji's Dialoguebaazi | Made In Heaven S2 | #primevideoindia,comment,16,he is the most adorable character of the series,he is the most adorable character of the series,Hinglish
@Super.normalkid,Jauhari ji is that character for whom you celebrate for that. he is on good side of the story.,23,https://www.youtube.com/watch?v=PIDlUvboRH4,0,Jauhari Ji's Dialoguebaazi | Made In Heaven S2 | #primevideoindia,comment,68,jauhari ji is that character for whom you celebrate for that. he is on good side of the story.,jauhari ji is that character for whom you celebrate for that. he is on good side of the story.,Hinglish
@paritoshpandey5025,Season 1 stories were left open for audience to decide about the morality of character presented but in s2 it's simply classist. Well after all it's a show by the riches about the riches.. E toh saala hona hi tha ,3,https://www.youtube.com/watch?v=b_4HrnneQz4,1,Why Made in Heaven Season 2 is Woke but Classist,comment,0,season 1 stories were left open for audience to decide about the morality of character presented but in s2 it's simply classist. well after all it's a show by the riches about the riches.. e toh saala hona hi tha,season 1 stories were left open for audience to decide about the morality of character presented but in s2 it's simply classist. well after all it's a show by the riches about the riches.. e toh saala hona hi tha,Hinglish
@FilmCompanionReviews,"Do you agree with the review?
Watch the Interview with the Creators of Made In Heaven Season 2.: https://youtu.be/n9ud4rm0vms",118,https://www.youtube.com/watch?v=4gt3T2fFYQg,7,Made In Heaven Season 2 Web Series Review by Suchin | Film Companion,comment,11,do you agree with the review? watch the interview with the creators of made in heaven season 2.:,do you agree with the review? watch the interview with the creators of made in heaven season 2.:,Hinglish
@Sawmxo,The shock value was less in s2. The music was much better in S1. I’m glad they didn’t change the theme song though…overall s2 is a good watch though s1 will be my all time fav.,118,https://www.youtube.com/watch?v=4gt3T2fFYQg,0,Made In Heaven Season 2 Web Series Review by Suchin | Film Companion,comment,0,the shock value was less in s2. the music was much better in s1. i’m glad they didn’t change the theme song though…overall s2 is a good watch though s1 will be my all time fav.,the shock value was less in s2. the music was much better in s1. i’m glad they didn’t change the theme song though…overall s2 is a good watch though s1 will be my all time fav.,Hinglish
@DeadPoet_AyushRaj,"Come on dude, the show is not that bad. I really liked some of the stories of season2.",118,https://www.youtube.com/watch?v=4gt3T2fFYQg,0,Made In Heaven Season 2 Web Series Review by Suchin | Film Companion,comment,1,"come on dude, the show is not that bad. i really liked some of the stories of season2.","come on dude, the show is not that bad. i really liked some of the stories of season2.",Hinglish
@montybonza879,"The show should be named Made in Hell. It is shown that every love story/marriage is dysfunctional which is really hard to believe episode after episode. The show is all over the place.  Not a single story has any depth or authenticity. Too much drama is added for entertainment. Pretentious, trash TV. Stop this kind of nonsense shows.",118,https://www.youtube.com/watch?v=4gt3T2fFYQg,0,Made In Heaven Season 2 Web Series Review by Suchin | Film Companion,comment,0,"the show should be named made in hell. it is shown that every love story/marriage is dysfunctional which is really hard to believe episode after episode. the show is all over the place. not a single story has any depth or authenticity. too much drama is added for entertainment. pretentious, trash tv. stop this kind of nonsense shows.","the show should be named made in hell. it is shown that every love story/marriage is dysfunctional which is really hard to believe episode after episode. the show is all over the place. not a single story has any depth or authenticity. too much drama is added for entertainment. pretentious, trash tv. stop this kind of nonsense shows.",Hinglish
@2011szaman,"I feel this is how the makers just punished us for loving season 1 so much and waited 4 years eagerly for the next season. Thanks to them, I no longer want anymore season of Made in Heaven.  What a disappointment! What a massive disappointment!!!",118,https://www.youtube.com/watch?v=4gt3T2fFYQg,0,Made In Heaven Season 2 Web Series Review by Suchin | Film Companion,comment,0,"i feel this is how the makers just punished us for loving season 1 so much and waited 4 years eagerly for the next season. thanks to them, i no longer want anymore season of made in heaven. what a disappointment! what a massive disappointment!!!","i feel this is how the makers just punished us for loving season 1 so much and waited 4 years eagerly for the next season. thanks to them, i no longer want anymore season of made in heaven. what a disappointment! what a massive disappointment!!!",Hinglish
@shraddhanigdikar,"I just wanted to see more of Tara's personal life. What is she thinking... I couldn't get enough of her. And the season was too preachy. Season 1 has some major messaging, but it didn't feel like a Moral Science lecture. I watched S2, wished I could unwatch it - so just went back and binged on S1 again to cleanse my mind. Loved Bulbul and Meher ❤ though.",118,https://www.youtube.com/watch?v=4gt3T2fFYQg,0,Made In Heaven Season 2 Web Series Review by Suchin | Film Companion,comment,6,"i just wanted to see more of tara's personal life. what is she thinking... i couldn't get enough of her. and the season was too preachy. season 1 has some major messaging, but it didn't feel like a moral science lecture. i watched s2, wished i could unwatch it - so just went back and binged on s1 again to cleanse my mind. loved bulbul and meher ❤ though.","i just wanted to see more of tara's personal life. what is she thinking... i couldn't get enough of her. and the season was too preachy. season 1 has some major messaging, but it didn't feel like a moral science lecture. i watched s2, wished i could unwatch it - so just went back and binged on s1 again to cleanse my mind. loved bulbul and meher ❤ though.",Hinglish
@bhavz_r,"This may be an unpopular opinion but Tara Khanna felt bland in this season compared to the first. The eventual unraveling of her greyness has now turned into overt villainy. Sad to see her reduced to an outright opportunist who for some reason thrives on a purely transactional relationship with her own family. In the moments that the show wanted us viewers to sympathize with her, I simply couldn't because she didn't feel real.",118,https://www.youtube.com/watch?v=4gt3T2fFYQg,0,Made In Heaven Season 2 Web Series Review by Suchin | Film Companion,comment,42,"this may be an unpopular opinion but tara khanna felt bland in this season compared to the first. the eventual unraveling of her greyness has now turned into overt villainy. sad to see her reduced to an outright opportunist who for some reason thrives on a purely transactional relationship with her own family. in the moments that the show wanted us viewers to sympathize with her, i simply couldn't because she didn't feel real.","this may be an unpopular opinion but tara khanna felt bland in this season compared to the first. the eventual unraveling of her greyness has now turned into overt villainy. sad to see her reduced to an outright opportunist who for some reason thrives on a purely transactional relationship with her own family. in the moments that the show wanted us viewers to sympathize with her, i simply couldn't because she didn't feel real.",Hinglish
@PixiSpark,"Jim is an amazing actor but this trailer, somehow his acting didn't seem upto to his mark given his brilliant performances up to date. It looked rather forced and fake.",99,https://www.youtube.com/watch?v=zOd0R4CcZqk,0,Life Lesson: Take Charge! | Made In Heaven Season 2 | Prime Video India,comment,0,"jim is an amazing actor but this trailer, somehow his acting didn't seem upto to his mark given his brilliant performances up to date. it looked rather forced and fake.","jim is an amazing actor but this trailer, somehow his acting didn't seem upto to his mark given his brilliant performances up to date. it looked rather forced and fake.",Hinglish
@ritabrata86,You don’t needed to do nay marketing for this show. After all it’s the best show ever made by prime video.,114,https://www.youtube.com/watch?v=QKQJvnnl32w,0,A Made In Heaven Baraat | Made In Heaven S2 | Prime Video India,comment,0,you don’t needed to do nay marketing for this show. after all it’s the best show ever made by prime video.,you don’t needed to do nay marketing for this show. after all it’s the best show ever made by prime video.,Hinglish
