author,comment,commentsCount,pageUrl,replyCount,title,type,voteCount,clean_comment,classification,themes,sentiment,LLM Emotions (parsed),LLM Emotions Confidence,text,language
@rahul28ish,"Skin colour discrimination, domestic violence, casteism, LGBT rights, polygamy, sologamy etc.",1572,https://www.youtube.com/watch?v=_lpxWzvII5k,0,Made in Heaven Season 2 - Official Trailer | Prime Video India,reply,0,"skin colour discrimination, domestic violence, casteism, lgbt rights, polygamy, sologamy etc.","{
  ""themes"": [
    ""Gender-Based Violence"",
    ""Caste / Intersectional""
  ],
  ""sentiment"": ""Negative""
}","Gender-Based Violence,Caste / Intersectional",Negative,"Anger, Disgust",Medium,"skin colour discrimination, domestic violence, casteism, lgbt rights, polygamy, sologamy etc.",English
@PhoneTest-vf3gv,Same double standards of Indian society where girl is cut off from her parents and not allowed to support her family after marriage nor spend her own earnings on her family or meet them regularly. Husband and in laws do not let her support her family.,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,comment,14,same double standards of indian society where girl is cut off from her parents and not allowed to support her family after marriage nor spend her own earnings on her family or meet them regularly. husband and in laws do not let her support her family.,"{
  ""themes"": [
    ""Gender Norms & Dynamics"",
    ""Caste / Intersectional""
  ],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Caste / Intersectional",Negative,"Anger, Disgust, Sadness",Medium,same double standards of indian society where girl is cut off from her parents and not allowed to support her family after marriage nor spend her own earnings on her family or meet them regularly. husband and in laws do not let her support her family.,English
@MrInvisible22,"@1:18 This is what happens when a man from an affluent family marries a girl from a low-class society. These gold digger girls and their mothers forget their 'aukaat' and think they have become equal with the high-class people.

I hope this serves as a lesson to all bachelor men from affluent families in India and abroad. NEVER marry girls from lower status than yours. You will suffer.",1572,https://www.youtube.com/watch?v=_lpxWzvII5k,0,Made in Heaven Season 2 - Official Trailer | Prime Video India,comment,7,@1:18 this is what happens when a man from an affluent family marries a girl from a low-class society. these gold digger girls and their mothers forget their 'aukaat' and think they have become equal with the high-class people. i hope this serves as a lesson to all bachelor men from affluent families in india and abroad. never marry girls from lower status than yours. you will suffer.,"```json
{
  ""themes"": [
    ""Caste / Intersectional"",
    ""Gender Norms & Dynamics""
  ],
  ""sentiment"": ""Negative""
}
```","Caste / Intersectional,Gender Norms & Dynamics",Negative,"Anger, Contempt, Disgust",High,@1:18 this is what happens when a man from an affluent family marries a girl from a low-class society. these gold digger girls and their mothers forget their 'aukaat' and think they have become equal with the high-class people. i hope this serves as a lesson to all bachelor men from affluent families in india and abroad. never marry girls from lower status than yours. you will suffer.,English
@prayagagrawal3979,Yeah like all these things doesn't happen in hindu marriages right? Upar aajao in bakwaas bato se ,451,https://www.youtube.com/watch?v=TBlOFPsxPsQ,0,Made In Heaven Season 2 Review : The Truth!,reply,4,yeah like all these things doesn't happen in hindu marriages right? upar aajao in bakwaas bato se,"{
  ""themes"": [""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}",Gender Norms & Dynamics,Negative,"Anger, Contempt",Medium,yeah like all these things doesn't happen in hindu marriages right? upar aajao in bakwaas bato se,English
@Du.....249,​ @mihirsharma0987 Dahej word sunke hi ladkiyo ka ego hurt hojata he ,359,https://www.youtube.com/watch?v=pytCSxxDvM8,0,Problem Of Every Girl? | Made In Heaven S2 | #primevideoindia,reply,0,​ @mihirsharma0987 dahej word sunke hi ladkiyo ka ego hurt hojata he,"{
  ""themes"": [""Gender Norms & Dynamics"", ""Caste / Intersectional""],
  ""sentiment"": ""Negative""
}","Gender Norms & Dynamics,Caste / Intersectional",Negative,"Contempt, Disgust",Medium,​ @mihirsharma0987 dahej word sunke hi ladkiyo ka ego hurt hojata he,English
@jinmuwon1108,"Tara ana aadil wow
M. Women fighting for their right after talaq
Just saying",451,https://www.youtube.com/watch?v=TBlOFPsxPsQ,0,Made In Heaven Season 2 Review : The Truth!,comment,2,tara ana aadil wow m. women fighting for their right after talaq just saying,"{
  ""themes"": [""Gender Norms & Dynamics"", ""Gender-Based Violence""],
  ""sentiment"": ""Positive""
}","Gender Norms & Dynamics,Gender-Based Violence",Positive,"Compassion, Pride",Medium,tara ana aadil wow m. women fighting for their right after talaq just saying,English
@astitwakumar4072,"There is not s single person in India who doesn't think about there skin colour...
Even rich , high class people..
Harsh reality ",106,https://www.youtube.com/watch?v=OrhUkKFsvqY,6,MADE IN HEAVEN Season 2 - Official Trailer REACTION!,comment,24,"there is not s single person in india who doesn't think about there skin colour... even rich , high class people.. harsh reality","{
  ""themes"": [""Body & Beauty Standards"", ""Caste / Intersectional""],
  ""sentiment"": ""Negative""
}","Body & Beauty Standards,Caste / Intersectional",Negative,"Disgust, Sadness",Medium,"there is not s single person in india who doesn't think about there skin colour... even rich , high class people.. harsh reality",English
@cricketclassics5490," @Maya_hee  lol n u can't isolate preferences which suits and which doesn't suite.. All these are part of bigger problem.. If u dont tackle the root it's useless.. U just can't say don't prefer fairer, dowry etc while people prefer in return for high earning, taller, well settled partners..",1020,https://www.youtube.com/watch?v=RSiy3QCZ6Sc,0,4 Year Wait For This?  | Made In Heaven Season 2 Review | Amazon Prime Video,reply,1,"@maya_hee lol n u can't isolate preferences which suits and which doesn't suite.. all these are part of bigger problem.. if u dont tackle the root it's useless.. u just can't say don't prefer fairer, dowry etc while people prefer in return for high earning, taller, well settled partners..","{
  ""themes"": [
    ""Caste / Intersectional"",
    ""Gender Norms & Dynamics""
  ],
  ""sentiment"": ""Negative""
}","Caste / Intersectional,Gender Norms & Dynamics",Negative,"Anger, Disgust",Medium,"@maya_hee lol n u can't isolate preferences which suits and which doesn't suite.. all these are part of bigger problem.. if u dont tackle the root it's useless.. u just can't say don't prefer fairer, dowry etc while people prefer in return for high earning, taller, well settled partners..",English
@movieswithshoaib,Because in series they say dalit wedding,22,https://www.youtube.com/watch?v=hZQP6lprcYE,0,Made In Heaven Season 2 Explained In Hindi | Made In Heaven Season 2 All Episodes Explained In Hindi,reply,3,because in series they say dalit wedding,"{
  ""themes"": [""Caste / Intersectional""],
  ""sentiment"": ""Neutral""
}",Caste / Intersectional,Neutral,No emotion,High,because in series they say dalit wedding,English
@akashpatre8643, @PTAistheGOAT  Lol I don't have any fantasy for any caste women. I was giving an example of reaction of your parents on finding their children having inter caste relationship this could go both ways like a criminal/forward/upper caste boy having relationship with victim/backward/lower caste woman. These relationship don't have any future in India so much so for preserving the caste hierarchy LoL,451,https://www.youtube.com/watch?v=TBlOFPsxPsQ,0,Made In Heaven Season 2 Review : The Truth!,reply,1,@ptaisthegoat lol i don't have any fantasy for any caste women. i was giving an example of reaction of your parents on finding their children having inter caste relationship this could go both ways like a criminal/forward/upper caste boy having relationship with victim/backward/lower caste woman. these relationship don't have any future in india so much so for preserving the caste hierarchy lol,"{
  ""themes"": [""Caste / Intersectional"", ""Gender Norms & Dynamics""],
  ""sentiment"": ""Negative""
}","Caste / Intersectional,Gender Norms & Dynamics",Negative,"Contempt, Disgust",Medium,@ptaisthegoat lol i don't have any fantasy for any caste women. i was giving an example of reaction of your parents on finding their children having inter caste relationship this could go both ways like a criminal/forward/upper caste boy having relationship with victim/backward/lower caste woman. these relationship don't have any future in india so much so for preserving the caste hierarchy lol,English
