"authorMeta.avatar","authorMeta.name","text","diggCount","shareCount","playCount","commentCount","videoMeta.duration","musicMeta.musicName","musicMeta.musicAuthor","musicMeta.musicOriginal","createTimeISO","webVideoUrl"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/354767bb0483254cc90a0da00f2980c4~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=957eb088&x-expires=1757750400&x-signature=N5zk9zoTvQVawEzWtfZ6HVo1jUU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","showmaxkenya","Inaland kesho, usiseme hatukukushow! #RHONReunionPart2 #RHON #RHONairobi #Whattowatch #Housewives #Kenyatiktok","21900","231","566600","236","49","original sound - ShowmaxKenya","ShowmaxKenya","true","2024-08-22T07:17:21.000Z","https://www.tiktok.com/@showmaxkenya/video/7405857483538910469"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/a5ef0852e7b715c721aa5cd68c251000~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=477f5123&x-expires=1757750400&x-signature=5MyFwQ8gMWKZJiTA2ieD7s%2FGeV0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","dnrstudioske","The boss lady @queenveebosset shows us how things are done on The Real housewives of Nairobi 🔥

#RHONairobi starts 23 Feb, only on @showmaxkenya","198","5","24100","3","22","original sound","Documentary & Reality TV","true","2023-02-19T19:50:51.000Z","https://www.tiktok.com/@dnrstudioske/video/7201956838458379525"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/354767bb0483254cc90a0da00f2980c4~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=957eb088&x-expires=1757750400&x-signature=N5zk9zoTvQVawEzWtfZ6HVo1jUU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","showmaxkenya","The apology needs to be as loud as the insult 👏🏾 #RHONairobi #WhatToWatch ","9518","97","199700","74","62","original sound","ShowmaxKenya","true","2023-03-14T17:58:10.000Z","https://www.tiktok.com/@showmaxkenya/video/7210462766799375621"
"https://p19-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/513de2bfbd1dd73c30c9497b8eb62dbe~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=5a2bc53e&x-expires=1757750400&x-signature=EMRAzqnvSTIdIdcgaY5fdzptHNM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","fordamrowebrand","#greenscreen Housewives of Nairobi. I am obsessed with @susankaittany #housewivesofnairobi #africa #kenya #susankaittany @showmaxonline @showmaxkenya #african #kenyantiktok🇰🇪 #nairobi #housewivesoftiktok ","76","4","834","9","114","original sound","FordamRowe","true","2023-03-11T01:25:01.000Z","https://www.tiktok.com/@fordamrowebrand/video/7209093548120116526"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/354767bb0483254cc90a0da00f2980c4~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=957eb088&x-expires=1757750400&x-signature=N5zk9zoTvQVawEzWtfZ6HVo1jUU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","showmaxkenya","Would you rally behind a Kenyan man in a spirited fashion as Minne? 🤔 #RHONairobi","1787","12","67500","29","37","original sound - ShowmaxKenya","ShowmaxKenya","true","2024-06-05T09:01:51.000Z","https://www.tiktok.com/@showmaxkenya/video/7376940198296440069"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/354767bb0483254cc90a0da00f2980c4~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=957eb088&x-expires=1757750400&x-signature=N5zk9zoTvQVawEzWtfZ6HVo1jUU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","showmaxkenya","Looks like Fareed is playing referee on Part 2 of #RHONairobiReunion 👀 One word: Noma‼","3557","86","158500","47","46","original sound - ShowmaxKenya","ShowmaxKenya","true","2023-06-08T15:00:00.000Z","https://www.tiktok.com/@showmaxkenya/video/7242280083128323333"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/87511b68f24ebce77e8ec7535c124b0d~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=aaf4f004&x-expires=1757750400&x-signature=fy7Tw5gzuoFjJh1swqfPaEa8JJM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","capitalfmkenya","“I think a sack..”

Dr. C shares the craziest outfit she’s ever worn 

#TheBoyzLive #RHONairobi #capitalfmkenya ","79","0","2653","1","53","original sound","Capital FM Kenya","true","2024-05-31T20:23:31.000Z","https://www.tiktok.com/@capitalfmkenya/video/7375262036365692166"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/6a047e1d37f24241ca159b6fefabe5bd~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=4e9959bd&x-expires=1757750400&x-signature=GhdlvuezUV11x%2F7N9cZahRLle40%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","ctrlztribe","The Posh Lady Susan Giving Us South African Vibes At The Real Housewives Of Nairobi. 

Full Episode On Our YouTube Channel 

#ctrlz #thechoppingboard #fashion #susankaittany #rhonairobi","502","1","22200","0","57","original sound","ctrlztribe","true","2023-03-07T19:14:25.000Z","https://www.tiktok.com/@ctrlztribe/video/7207884818850270470"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/06f8a06c978825b6990b1b6b78aced1b~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=5a0192b9&x-expires=1757750400&x-signature=SP62ScA2Yal4hdzD2yCS1T4bMxQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","pulselivekenya","I'm Number One In The Real Housewives Of Nairobi. Call Me Posh Queen #PulseLiveKenya #PulseKenya #RHONairobi #RealHousewivesOfNairobi #SusanKaittany #PulseLifestyle ","4106","63","112500","230","28","original sound","Pulse Kenya","true","2023-02-24T05:48:46.000Z","https://www.tiktok.com/@pulselivekenya/video/7203595250969955589"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/70c08805f81b5c8e09a1f81507a0f027~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=34c948b8&x-expires=1757750400&x-signature=NwMo76%2F2vUom8BXpBAicz3eiu9w%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","kiss100kenya","'Recently I have been getting backlash from people who say that I am body shaming Susan Kaittany because I called her a flamingo.' - Minne (Real Housewives of Nairobi). #KwamboxAndObinna #RHONairobi @Sheila Kwambox @OgaObinna  ","1968","11","46200","7","170","original sound","Kiss100 Kenya","true","2023-03-23T09:16:52.000Z","https://www.tiktok.com/@kiss100kenya/video/7213668181242580229"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/354767bb0483254cc90a0da00f2980c4~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=957eb088&x-expires=1757750400&x-signature=N5zk9zoTvQVawEzWtfZ6HVo1jUU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","showmaxkenya","Kuwa honest, can you hear this without judgement? 🤭 #SingleKiasi #RHONairobi zinastream on Showmax 🎥🍿 #WhatToWatch #KenyaTikTok #drama","1399","15","31700","6","56","original sound","ShowmaxKenya","true","2025-09-06T11:42:54.000Z","https://www.tiktok.com/@showmaxkenya/video/7546940318269050130"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/06f8a06c978825b6990b1b6b78aced1b~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=5a0192b9&x-expires=1757750400&x-signature=SP62ScA2Yal4hdzD2yCS1T4bMxQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","pulselivekenya","Congratulations to Vera and Mauzo #PulseLiveKenya #PulseKenya #VeraSidika #BrownMauzo #RHONairobi","109","1","4939","0","70","DON'T LET GO","KWADI","false","2023-03-10T07:23:19.000Z","https://www.tiktok.com/@pulselivekenya/video/7208814807879929094"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/7ea4cf7c24cdc5882d7bcdab0330cec4~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=e65df702&x-expires=1757750400&x-signature=qe%2FT4SSEE%2F4MuJBNOMEQioE7%2Bv4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","barbie07123","#kisiinationtiktok#kisiitiktokers❤ #rongainairobi ","24800","2386","247500","1116","15","original sound","Nostalgic Sound Media","true","2025-04-23T21:39:58.000Z","https://www.tiktok.com/@barbie07123/video/7496626570442968375"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/7322212133839011845~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=32301a89&x-expires=1757750400&x-signature=iYPLbGcjIRxBph2ZLKE%2F74zC7c4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","rhonerobi","Celebrate a small Black-owned woman-led business! Follow my business page today on IG and FB!!     @rddrdesigns      #homedecor          #handcrafted","25","1","302","4","13","Countdown","Official Sound Studio","false","2022-02-14T17:30:55.000Z","https://www.tiktok.com/@rhonerobi/video/7064619276543773998"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/7322212133839011845~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=32301a89&x-expires=1757750400&x-signature=iYPLbGcjIRxBph2ZLKE%2F74zC7c4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","rhonerobi","Happy 65th!!!🙏🏾♥️👑🌺🌻🎁🎶🥃🌹🍷🍸🎉🎈☀️#blackgirlmagic","34","2","223","4","24","Walking","Mary Mary","false","2021-04-10T22:41:47.000Z","https://www.tiktok.com/@rhonerobi/video/6949662975057792261"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/9d3cf2e65f85ea6bb4f3f5ee04a8477b~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=2520c0b4&x-expires=1757750400&x-signature=eQfxRVSZ1BvhPh37d67i3H0pJwI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","shakespearetravels","Come shopping with me at the Masai Market in Nairobi, Kenya! 🛍️🌍🇰🇪

From stunning brass jewelry to beautiful fabrics, this place is a hidden gem for unique finds and I'm obsessed! 😍✨
Top Tip: Bargaining is a MUST... treat it like a sport & don't be afraid to negotiate! 🏅💸
I walked away with 12 necklaces, 2 bracelets, 3 earrings, 8 rings, baby skirts & kimonos.... guess how much I spent? 🤔💭

Drop your guesses below! ⬇️

If Kenya isn't on your travel list yet... let this be your sign to book that flight! ✈️

#nairobimarket #kenyatravel #visitkenya #kenyatravelguide
#nairobikenya #sheldrickwildlifetrust #babyelephants #visitkenya #kenyatravel
#KenyaTravel #TravelTips #SafariReady #VisitKenya #Nairobi #ExploreKenya #TravelKenya #NairobiDiaries #SafariLife #AfricanSafari #WildlifeAdventure #KenyaSafaris #Wanderlust #BucketListTravel #TravelHacks #NomadLife #NatureLover #LuxuryTravel #Globetrotter #AdventureAwaits #SoloTravel #TravelMore #HiddenGems #BestVacations #EpicAdventures #Kenya🇰🇪 #TravelGuide #SafariVibes #DiscoverAfrica #RoamThePlanet #TravelSmart #MustVisitPlaces #DigitalNomad #TiktokTravel
#visitkenya #travelkenya #kenyasafari #nairobitravel #kenyabucketlist #thingstodoinnairobi #giraffecenter #africatravel","425","123","27400","31","56","Wale Wale","TRESOR & Sofiya Nzau","false","2025-04-01T16:05:00.000Z","https://www.tiktok.com/@shakespearetravels/video/7488325140762152197"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/973016f1ad909db3e802a91ee961fb78~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=9a3ebfd2&x-expires=1757750400&x-signature=oARUZi9G4%2BuJt02%2FrrtgS5Nia8k%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","therhosquad","#nairobitiktokers #mturaisafruit #therhosquad✝️ #kenyantiktok🇰🇪 #","9635","476","67700","31","43","original sound","Rho","true","2024-12-24T17:06:52.000Z","https://www.tiktok.com/@therhosquad/video/7452025981658975493"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/42778f4e948386115af3b041335fa1a5~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=ee9d570b&x-expires=1757750400&x-signature=Gx%2BZ1%2FHr5OeABGzV%2FOQnTKXqX3g%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5","julie.b.christensen","Nairobi at night and especially Thursdays at NSK😍😍😍😍 #Nairobi #nairobilife #nairobinightlife ","17800","1346","279100","658","8","original sound","Julie | Digital Nomad 🌏","true","2025-03-29T20:36:56.000Z","https://www.tiktok.com/@julie.b.christensen/video/7487333220468542742"
